step,metric,metric_display,mean,std,num_seeds,raw_seed7,smooth_seed7,raw_seed8,smooth_seed8,raw_seed9,smooth_seed9
0,validation/reward/total_mean,validation/reward/total_mean,-0.012719333333333332,0.0946214003642352,3,0.120395,0.120395,-0.091119,-0.091119,-0.067434,-0.067434
3,validation/reward/total_mean,validation/reward/total_mean,-0.005271999999999995,0.13142869991938597,3,0.238271,0.17933300000000002,-0.06656,-0.0788395,-0.165185,-0.1163095
6,validation/reward/total_mean,validation/reward/total_mean,0.024090444444444446,0.10688213157330986,3,0.163093,0.17391966666666667,0.057089,-0.03353,0.028264,-0.06811833333333332
9,validation/reward/total_mean,validation/reward/total_mean,0.06653441666666667,0.08045900665409615,3,0.196332,0.17952275,0.187348,0.021689499999999997,0.197919,-0.0016089999999999924
12,validation/reward/total_mean,validation/reward/total_mean,0.1031622,0.06023654490512106,3,0.221768,0.1879718,0.251728,0.0676972,0.275524,0.0538176
15,validation/reward/total_mean,validation/reward/total_mean,0.1588532,0.03254547922441252,3,0.204371,0.204767,0.235953,0.1331116,0.356883,0.138681
18,validation/reward/total_mean,validation/reward/total_mean,0.2063138,0.013489475323624224,3,0.231063,0.2033254,0.225336,0.19149080000000002,0.262036,0.22412520000000002
21,validation/reward/total_mean,validation/reward/total_mean,0.24258020000000002,0.015956904318820738,3,0.290987,0.22890420000000003,0.268999,0.23387280000000002,0.232456,0.2649636
24,validation/reward/total_mean,validation/reward/total_mean,0.2592988666666666,0.014709366224582505,3,0.260255,0.2416888,0.310555,0.25851419999999997,0.261569,0.2776936
27,validation/reward/total_mean,validation/reward/total_mean,0.26336406666666673,0.01089542284366341,3,0.273305,0.2519962,0.259357,0.26004,0.277336,0.278056
30,validation/reward/total_mean,validation/reward/total_mean,0.2746262,0.005962817255850336,3,0.357742,0.2826704,0.299729,0.2727952,0.308668,0.268413
33,validation/reward/total_mean,validation/reward/total_mean,0.2861829333333333,0.004201784250635525,3,0.278199,0.29209759999999996,0.279963,0.2837206,0.333624,0.2827306
36,validation/reward/total_mean,validation/reward/total_mean,0.2834415333333334,0.004357760110678672,3,0.265846,0.28706940000000003,0.280106,0.28594200000000003,0.205369,0.27731320000000004
39,validation/reward/total_mean,validation/reward/total_mean,0.28764166666666663,0.006579163501709183,3,0.249678,0.28495400000000004,0.364344,0.2966998,0.281359,0.2812712
42,validation/reward/total_mean,validation/reward/total_mean,0.28924653333333333,0.016044849648684432,3,0.274337,0.2851604,0.328954,0.3106192,0.23078,0.27196
45,validation/reward/total_mean,validation/reward/total_mean,0.2939601333333333,0.014697465229381866,3,0.337243,0.2810606,0.319256,0.3145246,0.380344,0.28629519999999997
48,validation/reward/total_mean,validation/reward/total_mean,0.28994606666666667,0.017005827641396565,3,0.278127,0.2810462,0.276066,0.31374519999999995,0.277382,0.27504680000000004
51,validation/reward/total_mean,validation/reward/total_mean,0.29678806666666663,0.014311508398798816,3,0.260748,0.28002659999999996,0.286346,0.3149932,0.306857,0.29534439999999995
54,validation/reward/total_mean,validation/reward/total_mean,0.3044734666666667,0.011625857183976676,3,0.289706,0.2880322,0.35318,0.3127604,0.367776,0.3126278
57,validation/reward/total_mean,validation/reward/total_mean,0.30574680000000004,0.013768267310013991,3,0.293204,0.2918056,0.269879,0.3009454,0.290088,0.3244894
