step,metric,metric_display,mean,std,num_seeds,raw_seed7,smooth_seed7,raw_seed8,smooth_seed8,raw_seed9,smooth_seed9
0,validation/outcome/success_lift_vs_dataset,Validation,-0.08072933333333333,0.04792422645756064,3,-0.013021,-0.013021,-0.117188,-0.117188,-0.111979,-0.111979
3,validation/outcome/success_lift_vs_dataset,Validation,-0.07421883333333333,0.05425173608333245,3,0.015625,0.0013020000000000002,-0.083333,-0.1002605,-0.135417,-0.123698
6,validation/outcome/success_lift_vs_dataset,Validation,-0.06539344444444445,0.03893264843987897,3,-0.039062,-0.012152666666666666,-0.039062,-0.079861,-0.065104,-0.10416666666666667
9,validation/outcome/success_lift_vs_dataset,Validation,-0.05121525,0.0281299595893773,3,-0.018229,-0.01367175,0.005208,-0.05859375,-0.013021,-0.08138025
12,validation/outcome/success_lift_vs_dataset,Validation,-0.03784713333333333,0.01959121640010021,3,-0.005208,-0.011979,0.023438,-0.0421874,0.028646,-0.059375
15,validation/outcome/success_lift_vs_dataset,Validation,-0.019270733333333335,0.005907973857611612,3,-0.03125,-0.0156248,0.020833,-0.014583200000000001,0.046875,-0.027604200000000002
18,validation/outcome/success_lift_vs_dataset,Validation,-0.0052082000000000005,0.010311879611399661,3,-0.005208,-0.0197914,0.0,0.0020834000000000004,0.013021,0.002083400000000001
21,validation/outcome/success_lift_vs_dataset,Validation,0.0062500666666666675,0.009945940103490581,3,0.020833,-0.0078124,0.015625,0.013020799999999999,-0.007812,0.013541800000000001
24,validation/outcome/success_lift_vs_dataset,Validation,0.012500066666666665,0.010733106342941398,3,0.007812,-0.0026042,0.046875,0.0213542,0.013021,0.0187502
27,validation/outcome/success_lift_vs_dataset,Validation,0.011631933333333335,0.006835138370378631,3,0.018229,0.0020831999999999995,0.005208,0.0177082,0.010417,0.0151044
30,validation/outcome/success_lift_vs_dataset,Validation,0.016493066666666667,0.004259569387730276,3,0.039062,0.0161456,0.041667,0.021875,0.028646,0.011458600000000001
33,validation/outcome/success_lift_vs_dataset,Validation,0.021180533333333335,0.004466855396012826,3,0.020833,0.0213538,0.023438,0.026562600000000002,0.033854,0.0156252
36,validation/outcome/success_lift_vs_dataset,Validation,0.020138866666666665,0.004965370440248026,3,0.020833,0.0213538,0.010417,0.025521,-0.018229,0.013541800000000001
39,validation/outcome/success_lift_vs_dataset,Validation,0.019444466666666667,0.0029868745865127247,3,0.0,0.019791399999999997,0.033854,0.0229168,0.023438,0.0156252
42,validation/outcome/success_lift_vs_dataset,Validation,0.0204862,0.00775250233666524,3,0.013021,0.0187498,0.044271,0.0307294,-0.007812,0.011979400000000001
45,validation/outcome/success_lift_vs_dataset,Validation,0.020138999999999997,0.006196748762590482,3,0.041667,0.019270799999999998,0.028646,0.0281252,0.033854,0.013021
48,validation/outcome/success_lift_vs_dataset,Validation,0.017361266666666667,0.004779750482562407,3,0.018229,0.01875,-0.005208,0.022396000000000003,0.023438,0.010937800000000001
51,validation/outcome/success_lift_vs_dataset,Validation,0.0189238,0.0046842361084812965,3,-0.007812,0.013021000000000001,0.020833,0.0244792,0.023438,0.019271200000000002
54,validation/outcome/success_lift_vs_dataset,Validation,0.022569600000000006,0.0045071800585288375,3,0.018229,0.0166668,0.049479,0.027604200000000002,0.044271,0.0234378
57,validation/outcome/success_lift_vs_dataset,Validation,0.020833466666666665,0.004500627530566029,3,0.023438,0.0187502,-0.010417,0.0166666,0.010417,0.027083599999999996
60,validation/outcome/success_lift_vs_dataset,Validation,0.018402866666666667,0.002700770785452841,3,0.020833,0.0145834,0.046875,0.0203124,0.0,0.0203128
63,validation/outcome/success_lift_vs_dataset,Validation,0.017013866666666665,0.004195327357376961,3,0.018229,0.014583400000000002,0.007812,0.0229164,-0.010417,0.013541799999999998
66,validation/outcome/success_lift_vs_dataset,Validation,0.014235999999999999,0.003715361111206644,3,-0.015625,0.013020799999999999,0.002604,0.019270600000000002,0.007812,0.010416600000000002
69,validation/outcome/success_lift_vs_dataset,Validation,0.011111066666666667,0.0035409421922546107,3,0.015625,0.0125,0.026042,0.014583200000000001,0.023438,0.006250000000000001
72,validation/outcome/success_lift_vs_dataset,Validation,0.008506866666666666,0.0020097495786512536,3,-0.010417,0.005729,-0.036458,0.009375,0.03125,0.010416600000000002
75,validation/outcome/success_lift_vs_dataset,Validation,0.007117999999999999,0.00798225148355191,3,0.018229,0.0052082,-0.007812,-0.0015624,0.036458,0.0177082
78,validation/outcome/success_lift_vs_dataset,Validation,0.012847266666666668,0.011010227604469503,3,0.03125,0.0078124,0.028646,0.0026044,0.041667,0.028125
81,validation/outcome/success_lift_vs_dataset,Validation,0.0203126,0.012975516029815538,3,0.049479,0.020833200000000003,0.010417,0.004167,0.046875,0.0359376
84,validation/outcome/success_lift_vs_dataset,Validation,0.022395866666666667,0.012870490941512509,3,0.049479,0.027604,0.028646,0.004687800000000001,0.018229,0.0348958
87,validation/outcome/success_lift_vs_dataset,Validation,0.027777800000000002,0.010836319389903567,3,0.033854,0.0364582,0.002604,0.0125002,0.028646,0.034375
90,validation/outcome/success_lift_vs_dataset,Validation,0.03125,0.009268265874477273,3,0.03125,0.0390624,0.020833,0.0182292,0.046875,0.0364584
93,validation/outcome/success_lift_vs_dataset,Validation,0.03142353333333334,0.010540332407577206,3,0.039062,0.0406248,0.020833,0.016666599999999997,0.044271,0.036979200000000004
96,validation/outcome/success_lift_vs_dataset,Validation,0.028124866666666665,0.007875889867747574,3,0.005208,0.031770599999999996,0.013021,0.0171874,0.039062,0.0354166
99,validation/outcome/success_lift_vs_dataset,Validation,0.026909666666666665,0.010634355721381945,3,0.023438,0.026562400000000003,0.013021,0.014062399999999997,0.041667,0.0401042
102,validation/outcome/success_lift_vs_dataset,Validation,0.030034666666666664,0.008984268444094685,3,0.044271,0.0286458,0.03125,0.0197916,0.036458,0.0416666
105,validation/outcome/success_lift_vs_dataset,Validation,0.02986106666666667,0.011269919436959413,3,0.067708,0.0359374,-0.007812,0.014062599999999998,0.036458,0.0395832
108,validation/outcome/success_lift_vs_dataset,Validation,0.029861133333333335,0.014119083351108725,3,0.059896,0.0401042,0.0,0.009895999999999999,0.044271,0.039583200000000006
111,validation/outcome/success_lift_vs_dataset,Validation,0.03541673333333333,0.014402314227311605,3,0.052083,0.0494792,0.041667,0.0156252,0.046875,0.041145799999999996
114,validation/outcome/success_lift_vs_dataset,Validation,0.0347222,0.0162063300916648,3,0.044271,0.0536458,0.005208,0.0140626,0.018229,0.0364582
117,validation/outcome/success_lift_vs_dataset,Validation,0.0317708,0.020363558193989575,3,0.049479,0.0546874,-0.013021,0.005208399999999999,0.03125,0.035416600000000006
120,validation/outcome/success_lift_vs_dataset,Validation,0.03177086666666667,0.016376613222790874,3,0.054688,0.0520834,0.026042,0.0119792,0.015625,0.03125000000000001
123,validation/outcome/success_lift_vs_dataset,Validation,0.03611113333333334,0.011092164228058575,3,0.054688,0.051041800000000005,0.0625,0.0244792,0.052083,0.032812400000000005
126,validation/outcome/success_lift_vs_dataset,Validation,0.036458333333333336,0.010054569282116907,3,0.049479,0.050521,0.057292,0.027604200000000002,0.039062,0.031249800000000005
129,validation/outcome/success_lift_vs_dataset,Validation,0.0375,0.008113471879945516,3,0.036458,0.0489584,0.028646,0.0322918,0.018229,0.031249800000000005
132,validation/outcome/success_lift_vs_dataset,Validation,0.03663193333333333,0.010488889441478327,3,0.03125,0.0453126,0.039062,0.0427084,-0.015625,0.021874800000000003
135,validation/outcome/success_lift_vs_dataset,Validation,0.03402773333333333,0.008551250496207492,3,0.013021,0.0369792,0.026042,0.0427084,0.018229,0.022395600000000005
138,validation/outcome/success_lift_vs_dataset,Validation,0.0251736,0.009339680175823293,3,0.026042,0.03125,0.010417,0.032291799999999996,0.0,0.011979000000000004
141,validation/outcome/success_lift_vs_dataset,Validation,0.02569446666666667,0.007902755810194033,3,0.044271,0.030208400000000003,0.057292,0.032291799999999996,0.052083,0.014583200000000001
144,validation/outcome/success_lift_vs_dataset,Validation,0.027083399999999997,0.006683623402516531,3,0.057292,0.0343752,0.010417,0.028645999999999998,0.036458,0.018229000000000002
147,validation/outcome/success_lift_vs_dataset,Validation,0.0293404,0.004301929030872854,3,0.036458,0.0354168,0.028646,0.026562799999999998,0.023438,0.026041600000000005
150,validation/outcome/success_lift_vs_dataset,Validation,0.032812600000000004,0.0026557262559734314,3,0.013021,0.0354168,0.039062,0.029166800000000003,0.057292,0.03385420000000001
153,validation/outcome/success_lift_vs_dataset,Validation,0.03576393333333334,0.007491467111024087,3,0.0,0.030208400000000003,0.018229,0.0307292,0.0625,0.046354200000000005
156,validation/outcome/success_lift_vs_dataset,Validation,0.030208333333333334,0.009631940138702876,3,0.036458,0.0286458,0.0,0.019270799999999998,0.033854,0.0427084
159,validation/outcome/success_lift_vs_dataset,Validation,0.03281253333333334,0.00522579628212029,3,0.054688,0.028125,0.065104,0.030208199999999998,0.023438,0.040104400000000005
162,validation/outcome/success_lift_vs_dataset,Validation,0.03611113333333334,0.0045471013193999635,3,0.044271,0.0296876,0.072917,0.0390624,0.020833,0.039583400000000005
165,validation/outcome/success_lift_vs_dataset,Validation,0.0314236,0.003017007475407818,3,0.018229,0.0307292,0.020833,0.0354166,0.0,0.028125000000000004
168,validation/outcome/success_lift_vs_dataset,Validation,0.033854133333333335,0.008102265201507263,3,0.044271,0.039583400000000005,0.039062,0.0395832,0.033854,0.022395800000000004
171,validation/outcome/success_lift_vs_dataset,Validation,0.03541673333333333,0.01622678969222056,3,0.026042,0.0375002,0.072917,0.054166599999999995,-0.005208,0.014583400000000005
174,validation/outcome/success_lift_vs_dataset,Validation,0.03559026666666667,0.015275824243846513,3,0.020833,0.0307292,0.075521,0.05625,0.049479,0.019791600000000003
177,validation/outcome/success_lift_vs_dataset,Validation,0.0315972,0.012135337168231739,3,0.020833,0.026041599999999998,0.033854,0.048437400000000005,0.023438,0.020312600000000004
180,validation/outcome/success_lift_vs_dataset,Validation,0.03576393333333334,0.012000514874880254,3,0.033854,0.029166599999999997,0.041667,0.052604200000000004,0.026042,0.025521000000000005
